n,c,time,c/ln(n)
1000,14.26,0,2.06
2000,15.14,.01,1.99
3000,17.70,0,2.21
4000,15.96,.01,1.92
5000,17.32,0,2.03
6000,18.80,.01,2.16
7000,18.70,0,2.11
8000,18.12,.01,2.01
9000,19.22,0,2.11
10000,21.56,.01,2.34
11000,18.40,.01,1.97
12000,18.80,.01,2.00
13000,19.94,.01,2.10
14000,18.92,.01,1.98
15000,19.88,0,2.06
16000,20.32,.01,2.09
17000,20.66,.02,2.12
18000,20.66,.01,2.11
19000,22.34,.01,2.26
20000,22.22,.01,2.24
21000,23.36,.02,2.34
22000,22.50,.01,2.25
23000,20.92,.02,2.08
24000,21.24,.01,2.10
25000,19.96,.01,1.97
26000,20.94,.02,2.06
27000,21.80,.02,2.13
28000,21.14,.02,2.06
29000,21.62,.01,2.10
30000,24.84,.02,2.41
31000,19.68,.02,1.90
32000,21.66,.02,2.08
33000,24.36,.02,2.34
34000,23.86,.02,2.28
35000,21.34,.03,2.04
36000,23.06,.02,2.19
37000,22.74,.02,2.16
38000,21.30,.02,2.02
39000,24.16,.02,2.28
40000,21.58,.02,2.03
41000,22.42,.02,2.11
42000,22.50,.03,2.11
43000,23.46,.03,2.20
44000,21.50,.03,2.01
45000,22.52,.03,2.10
46000,22.36,.03,2.08
47000,23.30,.02,2.16
48000,22.54,.03,2.09
49000,22.48,.03,2.08
50000,22.28,.03,2.06
51000,26.44,.02,2.44
52000,24.18,.03,2.22
53000,22.80,.03,2.09
54000,24.48,.03,2.24
55000,24.50,.03,2.24
56000,20.26,.03,1.85
57000,23.62,.04,2.15
58000,24.42,.03,2.22
59000,22.54,.03,2.05
60000,23.36,.03,2.12
61000,22.00,.04,1.99
62000,23.68,.03,2.14
63000,23.34,.04,2.11
64000,25.02,.03,2.26
65000,21.90,.04,1.97
66000,25.34,.04,2.28
67000,24.10,.04,2.16
68000,24.64,.04,2.21
69000,24.26,.04,2.17
70000,22.76,.03,2.04
71000,25.22,.05,2.25
72000,26.82,.04,2.39
73000,24.58,.04,2.19
74000,24.40,.04,2.17
75000,23.02,.04,2.05
76000,24.32,.04,2.16
77000,25.16,.04,2.23
78000,21.94,.05,1.94
79000,24.00,.04,2.12
80000,25.44,.05,2.25
81000,24.40,.04,2.15
82000,22.18,.05,1.96
83000,26.66,.04,2.35
84000,23.12,.05,2.04
85000,23.48,.05,2.06
86000,25.72,.04,2.26
87000,23.94,.05,2.10
88000,24.32,.05,2.13
89000,24.22,.05,2.12
90000,25.28,.05,2.21
91000,22.94,.05,2.01
92000,23.78,.05,2.08
93000,22.94,.05,2.00
94000,22.36,.05,1.95
95000,26.12,.05,2.27
96000,25.16,.05,2.19
97000,23.46,.05,2.04
98000,26.36,.06,2.29
99000,23.44,.05,2.03
100000,24.02,.06,2.08
